"","year","cat","role_to","role_from","count","year_cat_count"
"1",1900,"Chemistry","Committee","Governing",695,695
"2",1900,"Literature","Committee","Governing",65,65
"3",1900,"Medicine","Committee","Governing",18,18
"4",1900,"Physics","Committee","Governing",695,695
"5",1901,"Chemistry","Committee","Governing",740,1135
"6",1901,"Chemistry","Laureate","Governing",148,1135
"7",1901,"Chemistry","Laureate","Nominee",7,1135
"8",1901,"Chemistry","Nominator","Committee",100,1135
"9",1901,"Chemistry","Nominee","Nominator",140,1135
"10",1901,"Literature","Committee","Governing",65,2413
"11",1901,"Literature","Laureate","Governing",13,2413
"12",1901,"Literature","Laureate","Nominee",25,2413
"13",1901,"Literature","Nominator","Committee",385,2413
"14",1901,"Literature","Nominee","Nominator",1925,2413
"15",1901,"Medicine","Committee","Governing",20,5214
"16",1901,"Medicine","Laureate","Governing",20,5214
"17",1901,"Medicine","Laureate","Nominee",44,5214
"18",1901,"Medicine","Nominator","Committee",114,5214
"19",1901,"Medicine","Nominee","Nominator",5016,5214
"20",1901,"Peace","Laureate","Nominee",72,3680
"21",1901,"Peace","Nominator","Committee",440,3680
"22",1901,"Peace","Nominee","Nominator",3168,3680
"23",1901,"Physics","Committee","Governing",740,1410
"24",1901,"Physics","Laureate","Governing",148,1410
"25",1901,"Physics","Laureate","Nominee",12,1410
"26",1901,"Physics","Nominator","Committee",150,1410
"27",1901,"Physics","Nominee","Nominator",360,1410
"28",1902,"Chemistry","Committee","Governing",765,1338
"29",1902,"Chemistry","Laureate","Governing",153,1338
"30",1902,"Chemistry","Laureate","Nominee",12,1338
"31",1902,"Chemistry","Nominator","Committee",120,1338
"32",1902,"Chemistry","Nominee","Nominator",288,1338
"33",1902,"Literature","Committee","Governing",65,1945
"34",1902,"Literature","Laureate","Governing",13,1945
"35",1902,"Literature","Laureate","Nominee",34,1945
"36",1902,"Literature","Nominator","Committee",235,1945
"37",1902,"Literature","Nominee","Nominator",1598,1945
"38",1902,"Medicine","Committee","Governing",21,2989
"39",1902,"Medicine","Laureate","Governing",21,2989
"40",1902,"Medicine","Laureate","Nominee",43,2989
"41",1902,"Medicine","Nominator","Committee",66,2989
"42",1902,"Medicine","Nominee","Nominator",2838,2989
"43",1902,"Peace","Laureate","Nominee",54,3254
"44",1902,"Peace","Nominator","Committee",500,3254
"45",1902,"Peace","Nominee","Nominator",2700,3254
"46",1902,"Physics","Committee","Governing",765,1670
"47",1902,"Physics","Laureate","Governing",306,1670
"48",1902,"Physics","Laureate","Nominee",32,1670
"49",1902,"Physics","Nominator","Committee",135,1670
"50",1902,"Physics","Nominee","Nominator",432,1670
"51",1903,"Chemistry","Committee","Governing",760,1171
"52",1903,"Chemistry","Laureate","Governing",152,1171
"53",1903,"Chemistry","Laureate","Nominee",6,1171
"54",1903,"Chemistry","Nominator","Committee",115,1171
"55",1903,"Chemistry","Nominee","Nominator",138,1171
"56",1903,"Literature","Committee","Governing",91,2143
"57",1903,"Literature","Laureate","Governing",13,2143
"58",1903,"Literature","Laureate","Nominee",24,2143
"59",1903,"Literature","Nominator","Committee",455,2143
"60",1903,"Literature","Nominee","Nominator",1560,2143
"61",1903,"Medicine","Committee","Governing",22,1899
"62",1903,"Medicine","Laureate","Governing",22,1899
"63",1903,"Medicine","Laureate","Nominee",31,1899
"64",1903,"Medicine","Nominator","Committee",57,1899
"65",1903,"Medicine","Nominee","Nominator",1767,1899
"66",1903,"Peace","Committee","Governing",585,2977
"67",1903,"Peace","Laureate","Governing",117,2977
"68",1903,"Peace","Laureate","Nominee",25,2977
"69",1903,"Peace","Nominator","Committee",375,2977
"70",1903,"Peace","Nominee","Nominator",1875,2977
"71",1903,"Physics","Committee","Governing",760,1999
"72",1903,"Physics","Laureate","Governing",456,1999
"73",1903,"Physics","Laureate","Nominee",48,1999
"74",1903,"Physics","Nominator","Committee",175,1999
"75",1903,"Physics","Nominee","Nominator",560,1999
"76",1904,"Chemistry","Committee","Governing",895,1399
"77",1904,"Chemistry","Laureate","Governing",179,1399
"78",1904,"Chemistry","Laureate","Nominee",5,1399
"79",1904,"Chemistry","Nominator","Committee",160,1399
"80",1904,"Chemistry","Nominee","Nominator",160,1399
"81",1904,"Literature","Committee","Governing",65,861
"82",1904,"Literature","Laureate","Governing",26,861
"83",1904,"Literature","Laureate","Nominee",42,861
"84",1904,"Literature","Nominator","Committee",140,861
"85",1904,"Literature","Nominee","Nominator",588,861
"86",1904,"Medicine","Committee","Governing",66,4159
"87",1904,"Medicine","Laureate","Governing",22,4159
"88",1904,"Medicine","Laureate","Nominee",39,4159
"89",1904,"Medicine","Nominator","Committee",288,4159
"90",1904,"Medicine","Nominee","Nominator",3744,4159
"91",1904,"Peace","Committee","Governing",590,2404
"92",1904,"Peace","Laureate","Governing",118,2404
"93",1904,"Peace","Laureate","Nominee",22,2404
"94",1904,"Peace","Nominator","Committee",310,2404
"95",1904,"Peace","Nominee","Nominator",1364,2404
"96",1904,"Physics","Committee","Governing",895,1641
"97",1904,"Physics","Laureate","Governing",179,1641
"98",1904,"Physics","Laureate","Nominee",21,1641
"99",1904,"Physics","Nominator","Committee",105,1641
"100",1904,"Physics","Nominee","Nominator",441,1641
"101",1905,"Chemistry","Committee","Governing",1038,1751
"102",1905,"Chemistry","Laureate","Governing",173,1751
"103",1905,"Chemistry","Laureate","Nominee",8,1751
"104",1905,"Chemistry","Nominator","Committee",228,1751
"105",1905,"Chemistry","Nominee","Nominator",304,1751
"106",1905,"Literature","Committee","Governing",65,793
"107",1905,"Literature","Laureate","Governing",13,793
"108",1905,"Literature","Laureate","Nominee",15,793
"109",1905,"Literature","Nominator","Committee",175,793
"110",1905,"Literature","Nominee","Nominator",525,793
"111",1905,"Medicine","Committee","Governing",66,3517
"112",1905,"Medicine","Laureate","Governing",22,3517
"113",1905,"Medicine","Laureate","Nominee",30,3517
"114",1905,"Medicine","Nominator","Committee",309,3517
"115",1905,"Medicine","Nominee","Nominator",3090,3517
"116",1905,"Peace","Committee","Governing",590,2791
"117",1905,"Peace","Laureate","Governing",118,2791
"118",1905,"Peace","Laureate","Nominee",24,2791
"119",1905,"Peace","Nominator","Committee",355,2791
"120",1905,"Peace","Nominee","Nominator",1704,2791
"121",1905,"Physics","Committee","Governing",865,1593
"122",1905,"Physics","Laureate","Governing",173,1593
"123",1905,"Physics","Laureate","Nominee",15,1593
"124",1905,"Physics","Nominator","Committee",135,1593
"125",1905,"Physics","Nominee","Nominator",405,1593
"126",1906,"Chemistry","Committee","Governing",900,1295
"127",1906,"Chemistry","Laureate","Governing",180,1295
"128",1906,"Chemistry","Laureate","Nominee",6,1295
"129",1906,"Chemistry","Nominator","Committee",95,1295
"130",1906,"Chemistry","Nominee","Nominator",114,1295
"131",1906,"Literature","Committee","Governing",65,1639
"132",1906,"Literature","Laureate","Governing",13,1639
"133",1906,"Literature","Laureate","Nominee",24,1639
"134",1906,"Literature","Nominator","Committee",265,1639
"135",1906,"Literature","Nominee","Nominator",1272,1639
"136",1906,"Medicine","Committee","Governing",57,3492
"137",1906,"Medicine","Laureate","Governing",38,3492
"138",1906,"Medicine","Laureate","Nominee",76,3492
"139",1906,"Medicine","Nominator","Committee",243,3492
"140",1906,"Medicine","Nominee","Nominator",3078,3492
"141",1906,"Peace","Committee","Governing",1205,4161
"142",1906,"Peace","Laureate","Governing",241,4161
"143",1906,"Peace","Laureate","Nominee",29,4161
"144",1906,"Peace","Nominator","Committee",395,4161
"145",1906,"Peace","Nominee","Nominator",2291,4161
"146",1906,"Physics","Committee","Governing",900,1341
"147",1906,"Physics","Laureate","Governing",180,1341
"148",1906,"Physics","Laureate","Nominee",9,1341
"149",1906,"Physics","Nominator","Committee",90,1341
"150",1906,"Physics","Nominee","Nominator",162,1341
"151",1907,"Chemistry","Committee","Governing",940,1933
"152",1907,"Chemistry","Laureate","Governing",188,1933
"153",1907,"Chemistry","Laureate","Nominee",22,1933
"154",1907,"Chemistry","Nominator","Committee",145,1933
"155",1907,"Chemistry","Nominee","Nominator",638,1933
"156",1907,"Literature","Committee","Governing",78,1084
"157",1907,"Literature","Laureate","Governing",13,1084
"158",1907,"Literature","Laureate","Nominee",21,1084
"159",1907,"Literature","Nominator","Committee",216,1084
"160",1907,"Literature","Nominee","Nominator",756,1084
"161",1907,"Medicine","Committee","Governing",57,2954
"162",1907,"Medicine","Laureate","Governing",19,2954
"163",1907,"Medicine","Laureate","Nominee",40,2954
"164",1907,"Medicine","Nominator","Committee",198,2954
"165",1907,"Medicine","Nominee","Nominator",2640,2954
"166",1907,"Peace","Committee","Governing",620,2883
"167",1907,"Peace","Laureate","Governing",248,2883
"168",1907,"Peace","Laureate","Nominee",44,2883
"169",1907,"Peace","Nominator","Committee",365,2883
"170",1907,"Peace","Nominee","Nominator",1606,2883
"171",1907,"Physics","Committee","Governing",940,1813
"172",1907,"Physics","Laureate","Governing",188,1813
"173",1907,"Physics","Laureate","Nominee",18,1813
"174",1907,"Physics","Nominator","Committee",145,1813
"175",1907,"Physics","Nominee","Nominator",522,1813
"176",1908,"Chemistry","Committee","Governing",1000,1965
"177",1908,"Chemistry","Laureate","Governing",200,1965
"178",1908,"Chemistry","Laureate","Nominee",17,1965
"179",1908,"Chemistry","Nominator","Committee",170,1965
"180",1908,"Chemistry","Nominee","Nominator",578,1965
"181",1908,"Literature","Committee","Governing",65,661
"182",1908,"Literature","Laureate","Governing",13,661
"183",1908,"Literature","Laureate","Nominee",16,661
"184",1908,"Literature","Nominator","Committee",135,661
"185",1908,"Literature","Nominee","Nominator",432,661
"186",1908,"Medicine","Committee","Governing",76,3792
"187",1908,"Medicine","Laureate","Governing",38,3792
"188",1908,"Medicine","Laureate","Nominee",68,3792
"189",1908,"Medicine","Nominator","Committee",380,3792
"190",1908,"Medicine","Nominee","Nominator",3230,3792
"191",1908,"Peace","Committee","Governing",620,3374
"192",1908,"Peace","Laureate","Governing",248,3374
"193",1908,"Peace","Laureate","Nominee",64,3374
"194",1908,"Peace","Nominator","Committee",330,3374
"195",1908,"Peace","Nominee","Nominator",2112,3374
"196",1908,"Physics","Committee","Governing",1000,1645
"197",1908,"Physics","Laureate","Governing",200,1645
"198",1908,"Physics","Laureate","Nominee",13,1645
"199",1908,"Physics","Nominator","Committee",120,1645
"200",1908,"Physics","Nominee","Nominator",312,1645
"201",1909,"Chemistry","Committee","Governing",990,1799
"202",1909,"Chemistry","Laureate","Governing",198,1799
